Algorithm,Seed,Trials,CumRegret,CumRewardNoisy,CumRewardDenoised
EpsilonGreedy,11,20000,2.0,80011.81291298845,79998.0
ThompsonSampling,11,20000,225.0,79705.54307036172,79775.0
UCB1,11,20000,51.0,79994.87298276891,79949.0
Hybrid_TS2Greedy,11,20000,225.0,79750.10668247868,79775.0
EpsilonGreedy,23,20000,21218.0,58636.25676558392,58782.0
ThompsonSampling,23,20000,7.0,79801.6852664322,79993.0
UCB1,23,20000,30.0,79764.07489363186,79970.0
Hybrid_TS2Greedy,23,20000,7.0,79917.00775508597,79993.0
EpsilonGreedy,37,20000,20001.0,59961.46908505589,59999.0
ThompsonSampling,37,20000,1236.0,78645.27613962845,78764.0
UCB1,37,20000,53.0,79758.97020244271,79947.0
Hybrid_TS2Greedy,37,20000,1236.0,78776.48470572167,78764.0
EpsilonGreedy,41,20000,0.0,79755.32278445087,80000.0
ThompsonSampling,41,20000,22.0,79972.65859925126,79978.0
UCB1,41,20000,40.0,79977.93848941234,79960.0
Hybrid_TS2Greedy,41,20000,7.0,79886.34891943121,79993.0
EpsilonGreedy,53,20000,20000.0,60138.75782683367,60000.0
ThompsonSampling,53,20000,16.0,80113.91292411886,79984.0
UCB1,53,20000,35.0,80161.28812544154,79965.0
Hybrid_TS2Greedy,53,20000,13.0,80145.58846374761,79987.0
EpsilonGreedy,59,20000,26.0,79871.70341894802,79974.0
ThompsonSampling,59,20000,1.0,79714.87254902632,79999.0
UCB1,59,20000,47.0,79985.27237955661,79953.0
Hybrid_TS2Greedy,59,20000,1.0,80063.12329715923,79999.0
EpsilonGreedy,61,20000,0.0,79971.79274927721,80000.0
ThompsonSampling,61,20000,99.0,79999.0688339173,79901.0
UCB1,61,20000,39.0,80002.76777919177,79961.0
Hybrid_TS2Greedy,61,20000,99.0,79697.53051420937,79901.0
EpsilonGreedy,73,20000,2.0,79901.79622348226,79998.0
ThompsonSampling,73,20000,11.0,80041.48780803301,79989.0
UCB1,73,20000,34.0,80091.74864622347,79966.0
Hybrid_TS2Greedy,73,20000,6.0,80028.7627497143,79994.0
EpsilonGreedy,89,20000,2.0,80188.5375586211,79998.0
ThompsonSampling,89,20000,496.0,79488.0939380569,79504.0
UCB1,89,20000,46.0,79974.25432462784,79954.0
Hybrid_TS2Greedy,89,20000,496.0,79534.71676952123,79504.0
EpsilonGreedy,97,20000,42502.0,37603.1259744544,37498.0
ThompsonSampling,97,20000,13.0,80055.38998985433,79987.0
UCB1,97,20000,22.0,80248.47365171576,79978.0
Hybrid_TS2Greedy,97,20000,10.0,80165.33357870937,79990.0
